Program Specialties	Associates	Bachelors	Masters	PhD	Certificate Program	Distance / Online	Agricultural Geography	Applied Geography	Biogeography	Cartography	Climatology / Meteorology	"Conservation, Land Use"	Cultural Ecology	Cultural Geography	Economic Development	Economic Geography	Energy	Environmental Studies	Gender	Geographic Education	Geographic Thought	Geomorphology	GIS	GIS Certification Program	Hazards	Historical Geography	Location Theory	Medical Geography	Physical Geography (General)	"Planning (Regional, Urban)"	Political Ecology	Political Geography	Population Geography	Quantitative Methods	Regional Development	Recreation and Tourism	Remote Sensing	Rural Geography	Social Geography	Transportation and Communication	Urban Geography	Water Resources	North America	Middle America	South America	Europe	Africa	Asia	Australia Oceania	Polar World	Middle East	Former Soviet Union	World Regional
Texas State University		X	X	X	X	X		X	X	X	X	X	X	X		X		X	X	X		X	X	X	X	X	X	X	X	X	X		X	X		X	X			X	X	X		X	X	X		X				X	X
Texas Tech University		X	X	X	X							X		X		X		X		X		X	X	X					X		X			X			X		X		X	X	X		X	X	X	X					X
University of North Texas		X	X	X	X			X	X			X	X	X	X	X	X	X			X	X	X	X	X			X	X		X			X			X		X		X		X	X	X		X	X					
"University of Texas, Austin"		X	X	X			X	X	X		X	X	X	X		X	X	X	X		X	X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X			X			X
"The University of Texas, San Antonio"		X	X											X				X					X			X			X										X				X		X	X		X					
UTAH																																																					
University of Utah		X	X	X	X			X	X	X	X	X									X	X	X	X	X			X	X				X	X	X		X				X		X		X			X					X
Utah State University		X	X			X		X				X	X	X				X					X	X	X				X	X	X	X		X		X	X						X										
VERMONT																																																					
Middlebury College		X								X				X						X			X		X			X				X	X	X				X			X		X	X	X	X					X		X
University of Vermont		X						X	X		X	X	X	X			X	X	X			X	X		X	X			X		X	X	X	X			X	X		X	X	X	X		X		X	X					X
VIRGINIA																																																					
George Mason University		X	X	X	X	X		X	X	X	X			X		X				X	X		X	X		X	X	X	X	X		X	X	X			X		X	X	X	X	X	X	X	X	X	X			X		X
James Madison University		X					X	X	X	X	X		X	X	X	X	X	X	X		X		X	X	X	X			X		X	X		X			X				X	X	X	X		X	X	X					
Old Dominion University		X	X		X	X		X	X	X	X	X		X		X		X	X	X	X		X	X	X				X	X		X					X		X		X		X	X	X	X	X	X			X		X
Radford University		X			X			X	X	X		X	X	X		X	X	X				X	X	X	X				X	X			X	X	X		X					X	X	X	X	X	X	X			X		X
University of Mary Washington		X	X		X																			X																			X		X						X		
University of Richmond		X									X	X			X	X	X	X	X				X						X		X	X					X						X	X	X		X						
Virginia Tech 		X	X	X				X	X	X	X	X						X	X			X	X	X	X			X	X				X	X			X				X	X	X	X			X	X		X			X
WASHINGTON																																																					
Central Washington University		X	X				X	X	X	X	X	X	X	X	X	X	X	X				X	X	X	X	X			X		X			X	X	X	X	X		X	X	X	X	X	X	X		X			X	X	
University of Washington		X	X	X						X		X	X	X	X	X		X	X	X	X		X			X	X	X		X	X	X	X	X	X			X	X	X	X	X	X	X	X	X	X	X					X
Western Washington University		X	X		X		X	X	X	X	X	X		X		X	X	X		X	X		X	X	X	X			X	X	X										X	X	X					X					
WEST VIRGINIA																																																					
Marshall University		X	X		X	X		X		X	X			X	X	X					X		X	X					X				X	X	X		X		X	X	X		X	X	X	X							X
West Virginia University		X	X	X	X				X	X	X	X	X	X	X	X	X	X	X			X	X	X	X	X		X	X		X	X		X	X		X	X	X			X	X	X	X		X				X		X
WISCONSIN																																																					
"University of Wisconsin, Eau Claire"		X			X	X				X	X	X		X		X		X			X	X	X	X	X	X			X			X		X		X	X	X			X	X	X	X	X	X		X			X		
"University of Wisconsin, La Crosse"		X										X				X		X				X	X						X			X		X			X				X	X	X	X	X		X	X		X	X		
"University of Wisconsin, Milwaukee"		X	X	X	X				X		X			X	X	X		X					X	X					X					X			X		X		X	X	X			X		X					
"University of Wisconsin, Oshkosh"		X			X				X		X	X	X	X				X	X	X	X	X	X	X	X	X			X		X	X	X						X		X		X	X	X	X	X						
"University of Wisconsin, Platteville"		X							X									X						X																								X					
"University of Wisconsin, Whitewater"		X								X	X		X			X		X					X	X		X		X	X	X			X				X				X	X		X	X								
CANADA																																																					
ALBERTA																																																					
University of Alberta		X	X	X					X		X											X	X		X			X	X	X							X				X		X						X	X			
University of Calgary		X	X	X				X	X	X	X	X		X	X	X	X	X	X	X	X	X	X	X	X		X	X	X	X	X	X	X	X	X	X	X		X		X	X	X			X		X		X			X
University of Lethbridge		X	X	X			X		X	X						X		X											X	X		X					X	X			X	X	X										X
BRITISH COLUMBIA																																																					
Simon Fraser University		X	X	X			X		X		X	X		X		X		X	X			X	X	X	X		X	X	X	X	X	X	X	X	X	X	X		X	X	X		X										
University of British Columbia		X	X	X					X	X	X	X	X	X	X	X		X	X		X	X	X		X	X			X	X	X	X		X	X		X		X	X	X	X	X	X	X	X	X	X		X	X		X
University of Northern British Columbia		X	X	X					X													X	X					X	X		X						X		X					X								X	
University of the Fraser Valley		X			X				X		X			X		X		X				X	X						X	X	X										X		X				X	X					
University of Victoria		X	X	X				X	X	X	X	X		X	X			X	X	X	X	X	X		X	X	X	X	X	X		X	X	X	X		X		X		X	X	X		X	X		X		X			
MANITOBA																																																					
University of Winnipeg		X									X	X		X								X	X			X			X	X				X			X			X	X	X	X										
ONTARIO																																																					
Brock University		X	X				X	X	X	X	X			X	X	X		X	X			X	X			X			X	X				X	X	X	X	X	X	X		X	X										
Carleton University		X	X	X		X		X	X	X	X	X		X	X	X	X	X	X	X	X	X	X		X	X			X	X		X		X	X		X	X	X		X	X	X	X			X	X		X			X
McMaster University		X	X	X							X			X		X		X	X	X		X	X						X	X			X	X	X		X	X	X	X	X	X	X		X	X							
Queen's University		X	X	X					X					X	X	X	X	X	X	X	X	X	X	X		X		X	X	X		X		X			X		X		X	X	X	X						X			
Ryerson University		X	X		X			X		X	X	X		X	X	X		X					X	X	X		X	X	X	X			X	X	X	X	X	X	X	X	X	X											X
University of Guelph		X	X	X			X	X	X			X					X	X	X			X	X						X					X			X	X					X					X	X	X			
University of Ottawa		X	X	X				X		X	X			X				X			X		X			X			X	X		X	X				X		X		X		X					X		X			
University of Toronto		X	X	X							X					X		X	X				X			X		X	X	X		X					X		X	X	X												
University of Waterloo		X	X	X				X			X	X			X	X	X	X				X	X		X			X	X					X	X	X	X			X		X	X							X			
University of Western Ontario		X	X	X					X	X	X	X		X		X		X				X	X		X				X	X		X				X	X		X		X												
Waterloo-Laurier Graduate Program in Geography			X	X				X			X	X			X	X	X	X	X			X	X		X			X	X					X	X	X	X			X		X	X							X			
Wilfrid Laurier University		X	X	X				X						X		X				X		X	X						X								X				X		X										
